X,Y,Z,AX,AY,AZ
0.068321228,0.053115845,0.069969177,0.002197266,-0.013427734,0.914550781
-0.038490295,-0.038436890,-0.143653870,0.003662109,-0.009521484,0.914306641
-0.023231506,0.129409790,-0.067359924,0.004394531,-0.011230469,0.927001953
-0.175819397,0.709243774,-0.036842346,0.020996094,-0.006591797,0.853271484
-0.175819397,-0.191024780,-0.067359924,-0.013183594,-0.013916016,0.933837891
-0.191078186,-0.160507202,0.115745544,0.002929688,-0.014404297,0.909179688
0.129356384,0.785537720,0.024192810,0.003417969,-0.015136719,0.900634766
0.266685486,-0.603012085,0.039451599,0.000732422,-0.010009766,0.925781250
-0.099525452,0.236221313,-0.021583557,0.010009766,-0.013671875,0.931396484
0.007286072,0.098892212,-0.021583557,0.010742188,-0.011718750,0.906005859
0.098838806,-0.206283569,-0.097877502,-0.000976563,-0.012695313,0.917968750
-0.038490295,0.083633423,0.069969177,-0.000488281,-0.011718750,0.911376953
-0.099525452,-0.007919312,0.054710388,0.009277344,-0.010009766,0.907470703
-0.038490295,-0.053695679,-0.128395081,0.004150391,-0.012939453,0.919189453
-0.038490295,-0.038436890,0.039451599,0.002929688,-0.012451172,0.928466797
-0.114784241,-0.007919312,0.039451599,-0.001464844,-0.006835938,0.907958984
-0.130043030,0.037857056,0.054710388,0.001708984,-0.012207031,0.916259766
-0.297889709,-0.206283569,0.008934021,0.004638672,-0.011718750,0.922363281
0.007286072,0.190444946,0.054710388,-0.001464844,-0.012939453,0.920654297
-0.023231506,0.114151001,0.024192810,0.000976563,-0.013427734,0.913574219
0.007286072,0.037857056,0.039451599,0.004638672,-0.010009766,0.921386719
0.083580017,-0.236801147,-0.021583557,0.003417969,-0.012695313,0.916992188
0.007286072,-0.038436890,0.054710388,0.004394531,-0.011230469,0.921630859
-0.069007874,0.022598267,-0.082618713,-0.000488281,-0.011474609,0.913818359
0.053062439,-0.129989624,-0.113136292,0.004394531,-0.017578125,0.916503906
0.098838806,-0.053695679,-0.052101135,-0.001464844,-0.007812500,0.918212891
0.068321228,0.129409790,0.115745544,0.004150391,-0.012207031,0.920410156
0.037803650,0.068374634,-0.036842346,0.005371094,-0.016113281,0.919189453
-0.130043030,-0.023178101,-0.067359924,0.006103516,-0.012207031,0.915039063
-0.023231506,-0.023178101,-0.067359924,-0.002929688,-0.009033203,0.913330078
-0.069007874,0.083633423,-0.082618713,0.004638672,-0.007324219,0.916503906
-0.114784241,-0.023178101,0.008934021,0.002441406,-0.014404297,0.909179688
0.190391541,0.037857056,-0.128395081,0.006591797,-0.009277344,0.915039063
-0.084266663,-0.099472046,0.085227966,0.004638672,-0.012451172,0.911865234
0.083580017,-0.084213257,-0.021583557,0.005859375,-0.008056641,0.908935547
0.068321228,0.068374634,0.054710388,0.010253906,-0.013427734,0.927246094
-0.114784241,-0.007919312,0.008934021,0.001464844,-0.010253906,0.912597656
0.007286072,0.083633423,0.115745544,0.007324219,-0.012451172,0.912597656
-0.130043030,0.022598267,-0.143653870,0.003173828,-0.012451172,0.907714844
-0.145301819,-0.282577515,0.054710388,0.003173828,-0.016601563,0.907714844
-0.053749084,-0.114730835,0.008934021,0.006103516,-0.010253906,0.908935547
-0.053749084,-0.023178101,0.069969177,0.001953125,-0.013183594,0.916992188
0.236167908,0.083633423,0.146263123,0.000732422,-0.007568359,0.914062500
-0.191078186,-0.084213257,0.039451599,0.001708984,-0.012695313,0.912597656
0.220909119,0.068374634,0.100486755,0.002441406,-0.006347656,0.920166016
-0.023231506,-0.129989624,0.085227966,0.003173828,-0.007080078,0.927490234
-0.053749084,0.098892212,0.008934021,0.004394531,-0.011230469,0.911376953
-0.038490295,-0.038436890,0.131004333,0.003417969,-0.011230469,0.927490234
0.068321228,-0.038436890,0.085227966,0.004638672,-0.010009766,0.922119141
-0.053749084,-0.114730835,-0.052101135,0.003906250,-0.011962891,0.916992188
-0.221595764,-0.114730835,-0.067359924,0.005126953,-0.010253906,0.917724609
-0.084266663,-0.023178101,0.085227966,0.001708984,-0.015136719,0.916015625
0.022544861,0.068374634,-0.006324768,0.006347656,-0.012207031,0.922851563
0.129356384,0.022598267,0.024192810,0.005859375,-0.012695313,0.911865234
-0.084266663,-0.038436890,-0.067359924,0.010253906,-0.008544922,0.909179688
0.007286072,-0.099472046,-0.006324768,0.005371094,-0.011718750,0.916015625
-0.175819397,0.159927368,-0.006324768,0.001220703,-0.014892578,0.909423828
-0.236854553,0.022598267,0.085227966,0.006103516,-0.014648438,0.911865234
0.037803650,-0.129989624,0.008934021,0.002197266,-0.010742188,0.908447266
-0.007972717,-0.007919312,0.131004333,0.001220703,-0.011230469,0.915283203
0.022544861,-0.023178101,0.115745544,0.004882813,-0.010009766,0.912109375
-0.160560608,0.068374634,0.085227966,0.003417969,-0.004638672,0.910156250
-0.069007874,0.083633423,0.024192810,0.004150391,-0.013183594,0.908691406
0.175132751,-0.175765991,0.069969177,0.000976563,-0.012207031,0.915039063
0.159873962,-0.084213257,0.008934021,0.011230469,-0.013916016,0.908935547
0.037803650,-0.023178101,0.054710388,0.003662109,-0.006103516,0.916259766
-0.007972717,-0.038436890,0.100486755,0.008056641,-0.008789063,0.924316406
-0.023231506,0.037857056,0.039451599,0.002197266,-0.011718750,0.915039063
-0.069007874,0.068374634,0.069969177,0.002929688,-0.012695313,0.912597656
0.022544861,-0.252059937,0.146263123,0.001708984,-0.010253906,0.915039063
0.022544861,0.205703735,0.100486755,-0.000488281,-0.013916016,0.910156250
-0.007972717,0.159927368,-0.052101135,0.006347656,-0.009765625,0.916503906
0.159873962,-0.099472046,0.024192810,0.006591797,-0.007080078,0.912597656
0.022544861,-0.084213257,-0.097877502,0.004638672,-0.006347656,0.925537109
-0.007972717,0.022598267,-0.067359924,0.008544922,-0.012207031,0.917968750
-0.053749084,0.144668579,-0.036842346,0.003417969,-0.010253906,0.917724609
0.129356384,0.083633423,0.039451599,0.003417969,-0.010986328,0.913818359
0.037803650,0.159927368,0.039451599,0.008544922,-0.009033203,0.911865234
0.053062439,0.022598267,0.115745544,0.002685547,-0.007812500,0.917968750
0.007286072,0.098892212,0.039451599,-0.001953125,-0.012207031,0.915771484
0.144615173,-0.160507202,0.039451599,0.006347656,-0.014160156,0.919921875
0.098838806,0.098892212,-0.036842346,0.004882813,-0.013427734,0.918945313
0.068321228,-0.206283569,0.024192810,0.004638672,-0.008544922,0.914062500
0.007286072,-0.099472046,-0.082618713,0.003662109,-0.015136719,0.923583984
0.266685486,-0.068954468,-0.006324768,0.007568359,-0.015136719,0.912597656
-0.007972717,0.007339478,0.100486755,0.004638672,-0.009521484,0.923095703
0.068321228,-0.053695679,-0.082618713,0.000976563,-0.010986328,0.925292969
-0.175819397,-0.084213257,-0.021583557,0.002685547,-0.011474609,0.920166016
0.022544861,-0.023178101,0.008934021,0.006347656,-0.008300781,0.906005859
0.037803650,-0.145248413,-0.052101135,0.002929688,-0.007080078,0.913085938
-0.069007874,0.037857056,0.161521912,0.002441406,-0.014892578,0.921630859
0.053062439,0.159927368,0.069969177,-0.000732422,-0.008056641,0.916992188
0.053062439,0.007339478,-0.052101135,0.001220703,-0.013671875,0.915039063
0.068321228,0.098892212,-0.006324768,0.003662109,-0.015869141,0.911865234
0.144615173,-0.007919312,0.100486755,0.001708984,-0.014160156,0.907226563
-0.114784241,0.114151001,-0.158912659,0.001953125,-0.011474609,0.915527344
-0.069007874,-0.007919312,-0.067359924,0.004638672,-0.011718750,0.913574219
-0.069007874,-0.023178101,0.008934021,0.005371094,-0.012451172,0.913574219
-0.145301819,0.175186157,0.192039490,-0.000488281,-0.017578125,0.912109375
0.022544861,0.129409790,0.024192810,0.005126953,-0.010253906,0.922851563
0.098838806,0.129409790,-0.097877502,0.003417969,-0.013183594,0.913818359
0.068321228,-0.099472046,-0.036842346,0.004638672,-0.015380859,0.919433594
-0.206336975,-0.068954468,0.115745544,0.010009766,-0.009277344,0.911621094
0.114097595,0.053115845,0.024192810,0.005371094,-0.014160156,0.913818359
0.053062439,-0.007919312,0.100486755,-0.000244141,-0.012207031,0.912841797
0.007286072,-0.038436890,0.024192810,0.002685547,-0.012451172,0.912353516
-0.099525452,-0.053695679,-0.082618713,0.003662109,-0.014160156,0.915527344
-0.053749084,0.083633423,0.054710388,0.004150391,-0.011474609,0.922363281
0.022544861,0.007339478,0.039451599,0.001464844,-0.013916016,0.910156250
0.053062439,-0.068954468,0.024192810,0.003417969,-0.008300781,0.904785156
0.007286072,-0.007919312,-0.113136292,0.006347656,-0.015136719,0.911865234
0.068321228,-0.114730835,0.039451599,0.008056641,-0.007080078,0.906250000
-0.007972717,0.236221313,-0.067359924,0.002929688,-0.011962891,0.912841797
0.114097595,-0.191024780,0.192039490,0.006591797,-0.018066406,0.919433594
-0.160560608,0.236221313,0.008934021,0.005126953,-0.011718750,0.923828125
0.068321228,-0.068954468,0.008934021,0.007324219,-0.014648438,0.909667969
-0.145301819,0.648208618,0.039451599,0.011718750,-0.007568359,0.913085938
-0.160560608,-0.313095093,0.039451599,0.005859375,-0.008544922,0.915283203
0.159873962,0.434585571,0.008934021,0.003417969,-0.016601563,0.911865234
0.297203064,0.343032837,0.039451599,0.001464844,-0.018310547,0.903564453
0.083580017,-0.725082397,0.054710388,-0.000488281,-0.007568359,0.925292969
0.037803650,0.373550415,0.069969177,0.010009766,-0.015136719,0.914550781
0.281944275,-0.343612671,0.085227966,-0.000244141,-0.015380859,0.915039063
-0.114784241,-0.160507202,0.115745544,0.000000000,-0.012207031,0.924072266
-0.191078186,-0.038436890,0.100486755,0.002685547,-0.011230469,0.910644531
0.098838806,-0.206283569,-0.113136292,0.002929688,-0.012695313,0.909912109
-0.007972717,0.098892212,-0.082618713,0.001953125,-0.012695313,0.920898438
0.037803650,-0.007919312,0.008934021,0.002441406,-0.009765625,0.910644531
0.129356384,-0.053695679,-0.052101135,-0.001464844,-0.008300781,0.913574219
0.022544861,0.083633423,-0.006324768,-0.000244141,-0.018554688,0.916015625
-0.175819397,-0.007919312,-0.021583557,0.006103516,-0.016845703,0.923583984
0.251426697,0.098892212,0.008934021,0.004882813,-0.015136719,0.916259766
-0.023231506,-0.007919312,-0.143653870,0.001708984,-0.009033203,0.911132813
0.037803650,-0.068954468,0.131004333,0.001220703,-0.015136719,0.915527344
-0.023231506,-0.053695679,0.039451599,0.006347656,-0.010986328,0.920898438
-0.099525452,-0.114730835,-0.097877502,0.003417969,-0.010253906,0.918945313
-0.069007874,-0.007919312,-0.021583557,0.005859375,-0.011718750,0.919921875
0.037803650,0.022598267,0.008934021,0.003662109,-0.016113281,0.911865234
0.068321228,-0.129989624,-0.052101135,0.003417969,-0.019287109,0.919921875
-1.045570374,-1.472763062,-0.128395081,0.018310547,-0.019287109,0.818847656
0.617637634,1.792617798,0.558250427,-0.058349609,0.015625000,1.046630859
-0.160560608,-0.267318726,-0.158912659,0.001953125,-0.023193359,0.952392578
-0.160560608,-0.892929077,-0.082618713,-0.024169922,-0.000732422,0.989746094
0.190391541,-0.114730835,0.024192810,0.019287109,-0.017089844,0.905029297
0.190391541,0.159927368,-0.052101135,0.007324219,-0.011474609,0.907958984
0.098838806,-0.267318726,0.054710388,-0.008544922,-0.012451172,0.922607422
-0.114784241,0.114151001,0.161521912,0.012695313,-0.019531250,0.912109375
-0.084266663,-0.191024780,-0.097877502,0.002441406,-0.015136719,0.909179688
-0.206336975,-0.160507202,-0.021583557,0.000488281,-0.011718750,0.909667969
0.342979431,0.098892212,0.024192810,0.007324219,-0.013916016,0.910400391
-0.679359436,-2.281478882,0.161521912,-0.028564453,-0.003906250,0.979248047
0.465049744,1.685806274,0.176780701,0.040039063,-0.012451172,0.856445313
0.007286072,0.373550415,-0.006324768,0.000488281,-0.009277344,0.910644531
-0.297889709,-0.358871460,0.024192810,-0.002197266,-0.007568359,0.911865234
-0.038490295,0.129409790,0.024192810,0.004882813,-0.005371094,0.913085938
0.053062439,-0.068954468,0.131004333,0.005859375,-0.010253906,0.907714844
0.037803650,-0.053695679,-0.006324768,0.001464844,-0.009033203,0.907958984
0.114097595,0.175186157,-0.204689026,-0.002685547,-0.007080078,0.913574219
0.205650330,-0.084213257,-0.082618713,0.002441406,-0.010986328,0.927734375
-0.145301819,-0.816635132,-0.097877502,-0.011962891,-0.011718750,0.958984375
0.327720642,0.739761353,0.085227966,0.009765625,-0.011718750,0.908691406
0.190391541,0.205703735,0.024192810,0.008300781,-0.015136719,0.913574219
-0.130043030,-0.007919312,0.161521912,0.001464844,-0.010253906,0.919677734
-0.038490295,-0.129989624,-0.036842346,0.004638672,-0.008544922,0.915283203
-0.282630920,0.037857056,-0.067359924,0.003662109,-0.016601563,0.918945313
0.190391541,-0.129989624,-0.006324768,0.002197266,-0.010009766,0.908203125
0.114097595,0.312515259,0.115745544,0.011962891,-0.011962891,0.913330078
-0.084266663,-0.526718140,-0.113136292,-0.007080078,-0.012451172,0.912109375
-0.175819397,-0.007919312,0.085227966,0.001708984,-0.015380859,0.917968750
0.098838806,0.037857056,-0.052101135,0.000488281,-0.009765625,0.918701172
0.037803650,0.022598267,-0.021583557,0.004638672,-0.009033203,0.913818359
0.037803650,-0.068954468,-0.021583557,0.007324219,-0.013183594,0.922119141
0.053062439,0.083633423,0.008934021,0.003662109,-0.015869141,0.918457031
-0.007972717,0.098892212,-0.052101135,0.003906250,-0.009765625,0.907958984
-0.084266663,-0.053695679,0.039451599,-0.002685547,-0.015869141,0.910888672
0.022544861,0.114151001,-0.036842346,0.001953125,-0.012207031,0.924072266
-0.038490295,0.098892212,-0.174171448,0.003662109,-0.010986328,0.913330078
-0.007972717,0.098892212,0.054710388,0.010253906,-0.010742188,0.907714844
-0.114784241,-0.099472046,0.024192810,0.003173828,-0.010009766,0.912109375
0.129356384,0.007339478,-0.067359924,-0.000976563,-0.013671875,0.915039063
0.068321228,0.007339478,-0.021583557,0.006591797,-0.010498047,0.920410156
-0.130531311,0.266738892,0.115745544,0.005859375,-0.010009766,0.900146484
-0.023231506,-0.007919312,0.069969177,0.003417969,-0.012451172,0.916503906
-0.069007874,-0.129989624,0.069969177,0.006591797,-0.010009766,0.922851563
-0.007972717,0.098892212,-0.143653870,0.001953125,-0.012207031,0.916748047
0.190391541,0.083633423,-0.082618713,-0.002197266,-0.012695313,0.917968750
-0.130043030,0.022598267,-0.006324768,0.002929688,-0.020019531,0.910644531
0.083580017,0.159927368,0.100486755,0.006835938,-0.007812500,0.913574219
0.037803650,-0.175765991,-0.097877502,-0.002197266,-0.013427734,0.915527344
-0.023231506,-0.099472046,-0.021583557,0.000000000,-0.009765625,0.915527344
-0.114784241,0.007339478,-0.036842346,0.001464844,-0.016357422,0.906982422
0.068321228,0.007339478,0.115745544,0.006347656,-0.013671875,0.921386719
0.037803650,-0.023178101,0.100486755,0.004638672,-0.011230469,0.926269531
0.129356384,-0.068954468,0.024192810,0.004882813,-0.013427734,0.910888672
0.083580017,-0.114730835,0.024192810,-0.002685547,-0.010253906,0.910156250
-0.053749084,0.022598267,0.008934021,-0.001464844,-0.006835938,0.911621094
0.022544861,-0.053695679,0.176780701,-0.000976563,-0.011230469,0.923828125
0.236167908,-0.129989624,0.039451599,-0.002441406,-0.014892578,0.912841797
0.083580017,-0.068954468,0.069969177,0.001708984,-0.015380859,0.916259766
0.068321228,-0.191024780,0.024192810,0.002197266,-0.010253906,0.925292969
0.144615173,-0.160507202,0.085227966,0.005126953,-0.012207031,0.914306641
0.083580017,0.083633423,-0.036842346,-0.003662109,-0.016601563,0.927001953
0.129356384,0.037857056,-0.113136292,0.007080078,-0.009765625,0.912841797
-0.084266663,0.053115845,0.024192810,0.008544922,-0.012451172,0.911376953
0.098838806,0.236221313,0.069969177,0.005859375,-0.006591797,0.919433594
0.022544861,-0.099472046,-0.113136292,0.003662109,-0.009765625,0.919189453
-0.038490295,0.114151001,0.024192810,0.003173828,-0.014648438,0.917480469
-0.130043030,0.068374634,0.176780701,0.002441406,-0.011962891,0.926025391
-0.053749084,-0.053695679,0.054710388,0.007324219,-0.009277344,0.912109375
-0.069007874,-0.191024780,-0.006324768,0.001220703,-0.006835938,0.919433594
0.098838806,-0.084213257,0.008934021,0.008789063,-0.014404297,0.914550781
0.266685486,-0.068954468,0.176780701,0.004394531,-0.013916016,0.911132813
-0.038490295,-0.191024780,-0.097877502,0.007324219,-0.010498047,0.917724609
0.037803650,-0.038436890,0.100486755,0.007080078,-0.012207031,0.910156250
0.007286072,-0.175765991,0.131004333,0.007812500,-0.006591797,0.920410156
-0.038490295,0.022598267,-0.006324768,0.001464844,-0.014892578,0.914062500
0.236167908,0.053115845,-0.067359924,0.002929688,-0.010986328,0.905029297
0.053062439,-0.114730835,0.176780701,0.007568359,-0.016113281,0.912353516
-0.084266663,0.144668579,0.115745544,0.006347656,-0.014404297,0.912353516
0.053062439,0.022598267,-0.128395081,0.002685547,-0.010253906,0.913085938
